,AMI,AMI_gt,ARI,ARI_gt,CorrelationScore,CorrelationScore_gt,InstabilityScore,InstabilityScore_gt,method
5.0,0.813850181998,0.855797974028,0.835480894211,0.968059149078,0.742857142857,0.824285714286,0.132434029044,0.128895715291,gmm-sph
6.0,1.0,0.940012001275,1.0,0.989600878208,1.0,0.954166666667,0.0,0.059748235178,gmm-sph
7.0,0.852649464253,0.852649463883,0.850522382822,0.850522382822,0.846428571429,0.846428571429,0.12272681483,0.12272681483,gmm-sph
8.0,0.901910355985,0.860749912907,0.900110992545,0.861852344668,0.949107142857,0.995408163265,0.0430421899252,0.062943417525,gmm-sph
9.0,0.686534173397,0.759202538334,0.459588797014,0.73673515256,0.821825396825,0.980102040816,0.37232161465,0.123043862859,gmm-sph
10.0,0.646552592232,0.609228306608,0.336400151618,0.444558245822,0.699642857143,0.980102040816,0.427949477424,0.306772204343,gmm-sph
2.0,1.0,0.430009438484,1.0,0.634272129618,1.0,0.282142857143,0.0,0.524735615262,gmm-sph
3.0,1.0,0.52813769164,1.0,0.665935794678,1.0,0.604761904762,0.0,0.315663716814,gmm-sph
4.0,1.0,0.696548916482,1.0,0.825884024154,1.0,0.735714285714,0.0,0.207121651987,gmm-sph
5.0,0.813850181526,0.8557979738,0.835480894211,0.968059149078,0.735,0.867142857143,0.132434029044,0.128895715291,gmm-sph
6.0,0.994098718673,0.93445945714,0.999262263621,0.988863093009,0.997023809524,0.947619047619,0.00145727402873,0.0612055092067,gmm-sph
7.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,gmm-sph
8.0,0.923798929537,0.816322284525,0.926596241737,0.786362713941,0.988839285714,0.985714285714,0.0305460702695,0.102745872725,gmm-sph
9.0,0.800579444055,0.713098912815,0.655200732235,0.644264311876,0.840873015873,0.970918367347,0.179552896171,0.175907152087,gmm-sph
10.0,0.715715081423,0.672990072833,0.555853896715,0.58819226594,0.820714285714,0.98112244898,0.248210696906,0.206316695432,gmm-sph
2.0,1.0,0.430009438484,1.0,0.634272129618,1.0,0.473214285714,0.0,0.524735615262,gmm-sph
3.0,1.0,0.52813769164,1.0,0.665935794678,1.0,0.72380952381,0.0,0.315663716814,gmm-sph
4.0,1.0,0.696548916482,1.0,0.825884024154,1.0,0.816964285714,0.0,0.207121651987,gmm-sph
5.0,0.813850181697,0.8557979738,0.835480894211,0.968059149078,0.834285714286,0.899285714286,0.132434029044,0.128895715291,gmm-sph
6.0,1.0,0.940012001393,1.0,0.989600878208,1.0,0.972619047619,0.0,0.059748235178,gmm-sph
7.0,0.813482667024,0.813482667151,0.787620067583,0.787620067583,0.855102040816,0.855102040816,0.156240675803,0.156240675803,gmm-sph
